,first_name,last_name,proffession,Birthplace,Age,Birth Sign,month,day,year,popularity_rate,DEATH DATE,DISAPPEARED DATE
0,Robbie,Jarvis,Movie Actor,England,36,Taurus,May,7,1986,19615,,
1,Ilya,Isakovich,TikTok Star,United States,19,Gemini,May,23,2002,84244,,
2,Robbie,Hummel,Basketball Player,Valparaiso,33,Pisces,March,8,1989,153235,,
3,Robbie,Hooker,Soccer Player,Australia,55,Pisces,March,6,1967,220648,,
4,Robbie,Henshaw,Rugby Player,Ireland,28,Gemini,June,12,1993,93064,,
5,Robbie,Handsome,Vine Star,United States,48,Taurus,May,11,1974,169722,,
6,Robbie,Gray,Australian Rules Footballer,Australia,34,Aries,March,30,1988,71196,,
7,Robbie,Graham-Kuntz,TV Actor,Toronto,25,Leo,July,25,1996,110128,,
8,Robbie,Gould,Football Player, PA ,39,Sagittarius,December,6,1982,89672,,
9,Robbie,Gee,TV Actor,England,52,Aries,March,24,1970,145089,,
10,Robbie,Fulks,Country Singer, Pennsylvania ,59,Aries,March,25,1963,208594,,
11,Robbie,Fruean,Rugby Player,New Zealand,33,Cancer,July,13,1988,95715,,
12,Robbie,Fowler,Soccer Player,England,47,Aries,April,9,1975,43031,,
13,Robbie,Firmin,Pop Singer,England,18,Gemini,June,18,2003,127421,,
14,Robbie,Findley,Soccer Player,Phoenix,36,Leo,August,4,1985,195703,,
15,Robbie,Farah,Rugby Player,Australia,38,Aquarius,January,23,1984,125074,,
16,Robbie,Earle,Soccer Player,England,57,Aquarius,January,27,1965,153596,,
17,Robbie,E,Wrestler, NJ ,38,Libra,October,1,1983,62536,,
18,Robbie,Downey,YouTube Star, California ,23,Sagittarius,December,2,1998,89468,,
19,Robbie,Diack,Rugby Player,South Africa,36,Scorpio,November,12,1985,212482,,
20,Robbie,Deans,Rugby Coach,New Zealand,62,Virgo,September,4,1959,220848,,
21,Robbie,Daymond,Voice Actor,Chesterfield,40,Pisces,March,11,1982,37332,,
22,Robbie,Davis,Horse Jockey, Idaho ,60,Cancer,July,18,1961,197136,,
23,Robbie,Coltrane,TV Actor,Rutherglen,72,Aries,March,30,1950,6317,,
24,Robbie,Coles,Pop Singer,Bristol,30,Scorpio,October,28,1991,155660,,
25,Robbie,Clark,Soccer Player,birthplace.Kingston Upon Hull,31,Taurus,April,30,1991,211362,,
26,Robbie,Burlew,TikTok Star,Long Beach,20,Capricorn,January,11,2002,15973,,
27,Robbie,Brookside,Wrestler,England,56,Pisces,March,11,1966,174948,,
