,first_name,last_name,proffession,Birthplace,Age,Birth Sign,month,day,year,popularity_rate,DEATH DATE
0,Trent,Richardson,Football Player,Pensacola,31,Cancer,July,10,1990,57602,
1,Trent,Reznor,Rock Singer,New Castle,57,Taurus,May,17,1965,13086,
2,Trent,Owers,YouTube Star,Australia,28,Cancer,June,23,1993,35541,
3,Trent,Ostarly,TikTok Star,United States,20,Aquarius,February,12,2002,209799,
4,Trent,Olsen,Family Member,Los Angeles,38,Taurus,May,6,1984,34008,
5,Trent,Murphy,Football Player, Arizona ,31,Capricorn,December,22,1990,188647,
6,Trent,Merrin,Rugby Player,Wollongong,32,Libra,October,7,1989,115488,
7,Trent,McClung,Skateboarder, California ,28,Cancer,July,21,1993,140693,
8,Trent,Maxwell,Reality Star,Australia,30,Libra,September,25,1991,12088,
9,Trent,Lott,Politician,Grenada,80,Libra,October,9,1941,140024,
10,Trent,Leffler,TikTok Star,United States,23,Pisces,February,27,1999,133757,
11,Trent,Kowalik,Stage Actor, New York ,27,Pisces,February,22,1995,143982,
12,Trent,Johnston,Reality Star,United States,46,Pisces,March,17,1976,41030,
13,Trent,Johnson,Basketball Coach, California ,65,Virgo,September,12,1956,152498,
14,Trent,Jeffrey,Songwriter,United States,27,Libra,October,15,1994,149998,
15,Trent,Hunter,Hockey Player,Red Deer,41,Cancer,July,5,1980,176092,
16,Trent,Hunt,Instagram Star,Australia,26,Virgo,September,7,1995,115825,
17,Trent,Hodkinson,Rugby Player,Australia,33,Virgo,August,31,1988,159870,
18,Trent,Hatter,TikTok Star, Kentucky ,22,Pisces,March,11,2000,38565,
19,Trent,Harmon,Pop Singer,Amory,31,Libra,October,8,1990,24460,
20,Trent,Grisham,Baseball Player, Texas ,25,Scorpio,November,1,1996,168618,
21,Trent,Garrett,TV Actor,Hampton,38,Pisces,March,2,1984,14421,
22,Trent,Fuller,Instagram Star,United States,10,Taurus,April,25,2012,38701,
23,Trent,Franks,Politician, Colorado ,64,Gemini,June,19,1957,222793,
24,Trent,Forrest,Basketball Player,Dothan,23,Gemini,June,12,1998,197492,
25,Trent,Ford,Model,Akron,43,Capricorn,January,16,1979,117053,
26,Trent,Falson,Reality Star,Australia,44,Sagittarius,December,18,1977,77743,
27,Trent,Edwards,Dancer,United States,21,Scorpio,November,7,2000,66289,
28,Trent,Dilfer,Football Player,Santa Cruz,50,Pisces,March,13,1972,134159,
29,Trent,DeBoni,YouTube Star,Australia,21,Aries,April,18,2001,135808,
30,Trent,Dawson,Soap Opera Actor, Louisiana ,51,Aquarius,February,4,1971,188826,
31,Trent,Dabbs,Rock Singer,Jackson,46,Sagittarius,December,3,1975,169480,
32,Trent,Crews,Pop Singer,Columbus,37,Sagittarius,November,28,1984,127164,
33,Trent,Cotchin,Australian Rules Footballer,Melbourne,32,Aries,April,7,1990,54741,
34,Trent,Cole,Football Player,Xenia,39,Libra,October,5,1982,134456,
35,Trent,Carlton,TV Actor,United States,20,Virgo,September,12,2001,129041,
36,Trent,Boult,Cricket Player,Rotorua,32,Cancer,July,22,1989,36325,
37,Trent,Bell,Pop Singer,Townsville,32,Taurus,May,16,1990,65610,
38,Trent,Barrett,Rugby Player,Australia,44,Scorpio,November,18,1977,105685,
39,Trent,Barreta,Wrestler, New York ,35,Aries,March,30,1987,94894,
40,Trent,Ballinger,Family Member, California ,37,Aquarius,February,14,1985,7316,
41,Trent,Arnot,TikTok Star,Albuquerque,18,Aquarius,January,30,2004,138510,
42,Trent,Alexander-Arnold,Soccer Player,Liverpool,23,Libra,October,7,1998,3558,
43,Trent,Acid,Wrestler, Pennsylvania ,41,Scorpio,November,12,1980,183473,
44,trendyyem,trendyyem,TikTok Star,Bronxville,19,Pisces,March,8,2003,170868,
45,Trendygabriel,Trendygabriel,TikTok Star,United States,20,Cancer,July,18,2001,108878,
46,Trendycurvy,Trendycurvy,TikTok Star,United States,37,Gemini,June,15,1984,97271,
47,Trendy,Kelz,Rapper,United States,26,Virgo,September,16,1995,76855,
48,Trendy,Antonella,Instagram Star,Spain,35,Leo,July,31,1986,165043,
49,Trendsetterrrrrrr,Trendsetterrrrrrr,TikTok Star,Baltimore,27,Cancer,July,14,1994,54960,
50,Trench,Trench,Vine Star,United States,35,Aries,April,8,1987,53353,
51,Tren,Lokote,Rapper,Guadalajara,36,Taurus,May,4,1986,134696,
52,Tre,White,Instagram Star,United States,18,Virgo,September,16,2003,16966,
53,Tremani,Bartlett,Family Member,United States,2,Cancer,July,6,2019,30911,
54,Tremane,Neal,TikTok Star,United States,31,Leo,August,8,1990,50816,
55,Tremaine,Gibson,Dubsmash Star,United States,15,Pisces,March,8,2007,50953,
56,Tremaine,Edmunds,Football Player,Danville,24,Taurus,May,2,1998,99910,
